молодёжный|青年的；年轻人的
отли!чно|[副]极好，优秀的
ра!ньше|[副]从前，过去
тепе!рь|[副]现在
занима!тьса|[未]学习，做功课
пото!м|[副]以后，后来
спать|[未]睡觉
вчера!|[副]昨天
никогда!|[副]（用于否定句）永（不）
позавчера!|[副]前天
посо!льство|使馆
истори!ческий|历史的
па!мятник|纪念碑；文物，遗迹
бо!лен(-льна!，-льно!，-льны!)|生病
собра!ние|会，会议
заня!тие|课，上课
переда!ча|转交，广播，广播节目
жаль|[副]遗憾，可惜
ве!чер|晚会，晚上
у!жин|晚饭
неда!вно|[副]不久前
совреме!нник|同时代的人，现代人
люби!мый|喜欢的，受爱戴的
арти!стка|女演员
ви!деть|[未]看见
худо!жник|艺术家，画家
идти!|[未，定向]走，行走
е!хать|[未，定向]（乘车）去，来
куда!|[副]到哪里，往何处
зоопа!рк|动物园
ходи!ть|[未，不定向]去，往
е!здить|[未，不定向]（乘车、船等）去，来
никуда!|[副]哪里也（不），任何地方也（不）
туда!|[副]往那里，去那边
сюда!|[副]到这里，往这儿
домо!й|[副]回家，往家里
гора!|山
по!зед|火车
велосипе!д|自行车
такси!|[不变，中]出租车
ле!то|夏天
весна!|春天
зима!|冬天
год|年
времена! го!да|季节
краси!во|[副]美丽地，漂亮地
загора!ть|[未]晒黑，晒太阳
пла!вать|[未]游，游泳
роди!ться|[完，未]出生
сча!стлив(-ва,-вы)|幸福
фотографи!ровать|[未]拍照，照相
краса!вица|美人，美丽的姑娘
быва!ть|[未]常有，常是
гости!ная|客厅，接待室
кабине!т|办公室，书房
пу!шкинский|普希金的
пу!шкинские ме!ста|普希金工作，生活过的地方
встре!тить|[完]遇见，迎接
пригласи!ть|[完]邀请
ско!лько лет, ско!лько зим|很久没见面了；久违久违
случа!йно|[副]偶然
гость|[阳]客人
недо!рого|[副]不贵
Лю Шо|刘硕
Алекса!ндр|亚历山大
Ната!лья Гончаро!ва|娜塔丽娅·冈察洛娃
Оде!сса|敖德萨
